file,employees_text,company_number,source_employees
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/09058562-2024-06-26-accounts-with-accounts-type-micro-entity.txt,"average number of persons, including directors, employed by the company during the year was as follows: 2023 2022 total - - circularity capital (uk) limited is a private company limited by shares incorporated in england and wales. the company's registered office is one fleet place, london, united kingdom, ec4m 7ws. the presentational and functional currency of the financial statements is the pound sterling (£). for the year ended 30 september 2023 the company was entitled to exemption from audit under section 477 of the companies act 2006 relating to small companies. the directors acknowledge their responsibilities fo",09058562,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/10899680-2025-07-11-accounts-with-accounts-type-group.txt,the company and its subsidiary do not have any employees. the directors use a service provider,10899680,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/03924932-2025-01-17-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company, during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 9 administration staff ed 2 average number of employees - 11 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 199,747 social security costs - 15,158 other pension costs oo - 3,797 total employee benefits expense - 218,702 from 1 april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7. d",03924932,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07609320-2024-11-27-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of employees, including directors, during the year was o (2022: 0). fixed asset investments investment in subsidiary company £ cost at 1 january 2023 1,290,239 at 31 december 2023 1,290,239 net book value at 31 december 2023 1,290,239 at 31 december 2022 1,290,239 subsidiary undertaking the following was a subsidiary undertaking of the company: class of name registered office shares holding explorer (uk) limited 2 leman street, london, ordinary 100% united kingdom, e1w 9us page 5 docusign envelope id: 083cfa40-5ca1-4d15-99d6-ebe 14c714f4b explorer (uk) systems limited notes to the financial statements for",07609320,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06862901-2025-01-10-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 9 administration staff ee 5 average number of employees - 14 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salarics - 236,780 social security costs - 16,251 other pension costs ot 3,795 total employee benefits expense : 256,826 from | april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7. dire",06862901,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/10257918-2025-07-08-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of employees, including the directors, during the year was as follows: 2024 2023 no. no. employees - 63 directors - 2 0 65 for the year ended 30 june 2024, all staff were employed by ofj topco limited and costs recharged to each subsidiary as appropriate. page 10 docusign envelope 1d: b211d9a0-f6af-472e-9cec-fbdf3ba789e4 red kangaroo (coventry) ltd notes to the financial statements for the year ended 30 june 2024 7. interest payable and similar expenses finance leases and hire purchase contracts 8. taxation corporation tax current tax on profits for the year adjustments in respect of previous periads tota",10257918,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/14353824-2025-01-13-accounts-with-accounts-type-total-exemption-full.txt,average monthly number of persons {including directors) employed by the company during the period was: 2024 2023 number number total - - fixed asset investments 2024 2023 £ £ shares in group undertakings and participating interests 100 - powersaving (holdings) limited notes to the financial statements (continued) for the period ended 15 december 2024 4 fixed asset investments movements in fixed asset investments cost or valuation at 1 january 2024 additions at 15 december 2024 carrying amount at 15 december 2024 at 31 december 2023 (continued) shares in subsidiaries £ 100 100 100 during the period the company acquired a 100%,14353824,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07439676-2025-05-21-accounts-with-accounts-type-small.txt,"average monthly number of persons (including directors) employed by the company during the year was: 2024 number total - interest payable and similar expenses 2024 £ interest on financial liabilities measured at amortised cost: interest on bank overdrafts and loans 45 2023 number 2023 43 taxation the actual charge for the year can be reconciled to the expected credit for the year based on the surplus or deficit and the standard rate of tax as follows: 2024 2023 £ £ loss before taxation (210,403) (235,342) expected tax credit based on the standard rate of corporation tax in the uk of 25.00% (2023: 23.50%) (52,601) (65,305) group relief 52,601 55,30",07439676,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/02573112-2024-10-08-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons (including directors) employed by the company during the period was: 2023 2022 number number total - i. prodent laboratories limited notes to the financial statements (continued) for the period ended 31 december 2023 4 debtors 2023 2022 amounts falling due within one year: £ £ trade debtors 73,677 63,586 amounts owed by group undertakings 1,469,354 675,354 1,543,031 738,940 5 creditors: amounts falling due within one year 2023 2022 £ £ amounts owed to group undertakings 36,000 36,000 taxation and social security 74,383 40,674 other creditors 2,889 2,889 113,272 79,563 6 called up share capital 2023 2022 2023 2022",02573112,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/01494399-2024-10-13-accounts-with-accounts-type-full.txt,"average monthly number of employees during the year was interest payable and similar charges net interest charge on defined benefit liability (note 13) directors’ emoluments 2023 2022 £000 £000 10 15 (2,023) 4,337 2023 2022 no. no. 2023 2022 £000 £000 282 334 282 334 the emoluments of the directors in the current financial period were borne by other group companies as detailed in the spitfire topco limited accounts. 23 bms. minova insurance holdings limited notes to the accounts for the year ended 31 december 2023 6. taxon loss on ordinary activities 2023 2022 £000 £000 the taxation credit comprises: current tax on loss on ordi",01494399,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/12217478-2024-09-28-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average number of employees during the period was 3 (2023 - 3). page 3 continued... dacusign envelope id. doc4a6d7-45bc-46bb-95e0-8780cf 8248e2 the rammsanderson group ltd notes to the financial statements - continued for the period 1 february 2023 to 31 december 2023 4. fixed asset investments shares in group undertakings £ cost at 1 february 2023 and 31 december 2023 10,035 net book value at 31 december 2023 10,035 at 31 january 2023 10.035 5. creditors: amounts falling due within one year 2023 2023 as restated £ £ other creditors 35 77 6. called up share capital allotted, issued and fully paid: number: class: nominal",12217478,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06044978-2025-01-10-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 6 administration staff - 6 average number of employees - 12 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 187,089 social security costs - 13,446 other pension costs oe 3,371 203,906 total employee benefits expense = from 1 april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7. direc",06044978,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/09886138-2024-12-04-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"tax is attributed to increase in staff costs during the year. equity has increased to $1,046k (2022: £842k) as a result of the profit for the year. current and future developments the company will continue to provide full technical management services to offshore vessels. the expectation for the company is that vessel numbers will be relative",09886138,PDF
