Id,Title,Location,RecordText,snippet
15-75449,Most passes completed in an NFL game,Not Applicable,"<p>The most passes completed in an NFL game is 47 and was achieved by Ben Roethlisberger (USA) while playing for the Pittsburgh Steelers in a 48-37 loss to the Cleveland Browns (both USA) in an AFC wild-card playoff game on 10 January 2021. The most passes completed in an NFL regular-season game is 45 and was first accomplished by Drew Bledsoe while playing for the New England Patriots in a game against the Minnesota Vikings on November 13, 1994 and equaled by Jared Goff of the Los Angeles Rams in a game against the Tampa Bay Buccaneers on September 29, 2019.</p>","Title: Most passes completed in an NFL game
 Location: Not Applicable
 Text: <p>The most passes completed in an NFL game is 47 and was achieved by Ben Roethlisberger (USA) while playing for the Pittsburgh Steelers in a 48-37 loss to the Cleveland Browns (both USA) in an AFC wild-card playoff game on 10 January 2021. The most passes completed in an NFL regular-season game is 45 and was first accomplished by Drew Bledsoe while playing for the New England Patriots in a game against the Minnesota Vikings on November 13, 1994 and equaled by Jared Goff of the Los Angeles Rams in a game against the Tampa Bay Buccaneers on September 29, 2019.</p>"
15-27627,Largest display of chalk pavement art,"Itzehoe, Schleswigh, Germany","The largest display of chalk pavement art consists of 944 drawings, achieved by Novitas BKK (Germany) in Itzehoe, Germany, on 7 September 2019.<br/>The central theme of the chalk pavement art display was “Fürsorge”, for which there are a number of English translations such as care, welfare, relief or aid.","Title: Largest display of chalk pavement art
 Location: Itzehoe, Schleswigh, Germany
 Text: The largest display of chalk pavement art consists of 944 drawings, achieved by Novitas BKK (Germany) in Itzehoe, Germany, on 7 September 2019.<br/>The central theme of the chalk pavement art display was “Fürsorge”, for which there are a number of English translations such as care, welfare, relief or aid."
15-105166,Female actor who appeared in most Bond films,", Not Applicable","Lois Maxwell (Canada, b. 14 February 1927, d. 29 September 2007) played Miss Moneypenny in 14 of the movies.","Title: Female actor who appeared in most Bond films
 Location: , Not Applicable
 Text: Lois Maxwell (Canada, b. 14 February 1927, d. 29 September 2007) played Miss Moneypenny in 14 of the movies."
15-24845,Fastest road run 100 kilometres (female),"Yufutsu,, Japan","<p>The fastest road run 100 km by a female athlete is 6 hours 33 minutes 11 seconds, by Tomoe Abe (Japan) at the International Association of Ultrarunners (IAU) 100 km Race in Lake Saroma, Hokkaido, Japan, on 25 June 2000. It was her first 100 km race.</p><br/><p>Abe beat Ann Trason’s previous mark of 7 hours 48 seconds by almost half an hour.</p>","Title: Fastest road run 100 kilometres (female)
 Location: Yufutsu,, Japan
 Text: <p>The fastest road run 100 km by a female athlete is 6 hours 33 minutes 11 seconds, by Tomoe Abe (Japan) at the International Association of Ultrarunners (IAU) 100 km Race in Lake Saroma, Hokkaido, Japan, on 25 June 2000. It was her first 100 km race.</p><br/><p>Abe beat Ann Trason’s previous mark of 7 hours 48 seconds by almost half an hour.</p>"
15-30539,Longest hot dog,"Mariano Roque Alonso,Asuncion,, Paraguay","<p>The longest hot dog measured 203.80 m (668 ft 7.62 in) and was made by Novex S.A. (Paraguay) at the Expoferia 2011, in Mariano Roque Alonso, Paraguay, on 15 July 2011.</p><br/><p>The meat, produced by Ochsi, weighed 120 kg (264 lb 8.87 oz). The bun consisted of 100 kg (220 lb 7.39 oz) of flour, 25 litres (5.5 UK gal; 6.6 US gal) of water, 6 kg (13 lb 3.64 oz) yeast, 6 kg (13 lb 3.64 oz) sugar, 5 kg (11 lb 0.36 oz) butter, 2 kg (4 lb 6.54 oz) powdered milk, 2 kg (4 lb 6.54 oz) salt and 1 litre (0.22 UK gal; 0.26 US gal) malt extract. The hot dog and bun were entirely edible. Following the successful record attempt, the hot dog was cut into 2000 portions and distributed to the public. The hot dog was created to be a minimum of 200 m (656 ft 2 in) to commemorate Paraguay's 200th anniversary as a country (1811-2011).</p>","Title: Longest hot dog
 Location: Mariano Roque Alonso,Asuncion,, Paraguay
 Text: <p>The longest hot dog measured 203.80 m (668 ft 7.62 in) and was made by Novex S.A. (Paraguay) at the Expoferia 2011, in Mariano Roque Alonso, Paraguay, on 15 July 2011.</p><br/><p>The meat, produced by Ochsi, weighed 120 kg (264 lb 8.87 oz). The bun consisted of 100 kg (220 lb 7.39 oz) of flour, 25 litres (5.5 UK gal; 6.6 US gal) of water, 6 kg (13 lb 3.64 oz) yeast, 6 kg (13 lb 3.64 oz) sugar, 5 kg (11 lb 0.36 oz) butter, 2 kg (4 lb 6.54 oz) powdered milk, 2 kg (4 lb 6.54 oz) salt and 1 litre (0.22 UK gal; 0.26 US gal) malt extract. The hot dog and bun were entirely edible. Following the successful record attempt, the hot dog was cut into 2000 portions and distributed to the public. The hot dog was created to be a minimum of 200 m (656 ft 2 in) to commemorate Paraguay's 200th anniversary as a country (1811-2011).</p>"
15-76945,Most overhead horizontal rifle spins ,,"On 11 April 2001 Constantine H. Wilson of rifle display team New Guard America spun&#160;a US 1903-A3 rifle in the air horizontally over his head four times&#160;before catching it again, at the Navy and Marine Reserve Centre, Anacostia Naval Base, Washington DC, USA.
<br/>The weapon used was a complete rifle with a fixed bayonet and a cloth sling. The overall weight of the weapon was 4.4 kg (9 lb 12.25 oz) and the blade length of the bayonet was 24 cm (9.5 in). 
<BR>
<BR><B>Method:</B> As the title suggests, the aerial must be thrown horizontally over the head and cannot deviate more than 10 degrees from horizontal. The throw is discounted if the weapon hits or comes in contact with the ground or the performers head during release or the catch of the weapon.
","Title: Most overhead horizontal rifle spins 
 Location: 
 Text: On 11 April 2001 Constantine H. Wilson of rifle display team New Guard America spun&#160;a US 1903-A3 rifle in the air horizontally over his head four times&#160;before catching it again, at the Navy and Marine Reserve Centre, Anacostia Naval Base, Washington DC, USA.
<br/>The weapon used was a complete rifle with a fixed bayonet and a cloth sling. The overall weight of the weapon was 4.4 kg (9 lb 12.25 oz) and the blade length of the bayonet was 24 cm (9.5 in). 
<BR>
<BR><B>Method:</B> As the title suggests, the aerial must be thrown horizontally over the head and cannot deviate more than 10 degrees from horizontal. The throw is discounted if the weapon hits or comes in contact with the ground or the performers head during release or the catch of the weapon.
"
15-59908,Most stage appearances by a dog (same role),"Blackpool, United Kingdom","The most stage appearances by a dog for the same role was achieved by Danny, owned by Rita Mansell (UK), who played Sandy in the musical 'Annie' in 1,365 performances in the United Kingdom. Danny retired on 31 December 2011.<br/>Danny first took the part of Sandy in the musical 'Annie' aged just 7 months old. He then performed Sandy for the next 10 years.","Title: Most stage appearances by a dog (same role)
 Location: Blackpool, United Kingdom
 Text: The most stage appearances by a dog for the same role was achieved by Danny, owned by Rita Mansell (UK), who played Sandy in the musical 'Annie' in 1,365 performances in the United Kingdom. Danny retired on 31 December 2011.<br/>Danny first took the part of Sandy in the musical 'Annie' aged just 7 months old. He then performed Sandy for the next 10 years."
15-358849,Largest fish display,"General Santos, Philippines, Philippines","<p>The largest fish display consists of 25,594.49 kg (56,426 lb 3 oz) of yellowfin tuna and was achieved by the City of General Santos (Philippines) in General Santos City, South Cotabato, Philippines, on 11 September 2014. </p><br/><p>The display consisted of 762 yellowfin tuna during the Tuna Festival 2014.</p>","Title: Largest fish display
 Location: General Santos, Philippines, Philippines
 Text: <p>The largest fish display consists of 25,594.49 kg (56,426 lb 3 oz) of yellowfin tuna and was achieved by the City of General Santos (Philippines) in General Santos City, South Cotabato, Philippines, on 11 September 2014. </p><br/><p>The display consisted of 762 yellowfin tuna during the Tuna Festival 2014.</p>"
15-88093,First game to trigger the set-up of a software ratings board,,"Established in 1994, the Entertainment Software Rating Board (ESRB) is an industry organization set up in response to the public reaction to Mortal Kombat. In an effort to avoid compulsory censorship, the ESRB set about applying ratings to games similar to those applied to movies. The move came as a consequence of pressure from US Congress.","Title: First game to trigger the set-up of a software ratings board
 Location: 
 Text: Established in 1994, the Entertainment Software Rating Board (ESRB) is an industry organization set up in response to the public reaction to Mortal Kombat. In an effort to avoid compulsory censorship, the ESRB set about applying ratings to games similar to those applied to movies. The move came as a consequence of pressure from US Congress."
15-117087,Longest bar-to-bar bicycle jump,"London, Greater London, United Kingdom","<p>The longest bar-to-bar bicycle jump is 2.81 m (9 ft 2.62 in) and was achieved by Andrei Burton (UK) at Prudential RideLondon FreeCycle, in London, UK, on 29 July 2017.</p><br/><p>The record attempt took place in Green Park Festival Zone where various stunt cyclists showed off their tricks on the urban trials obstacle course.</p>","Title: Longest bar-to-bar bicycle jump
 Location: London, Greater London, United Kingdom
 Text: <p>The longest bar-to-bar bicycle jump is 2.81 m (9 ft 2.62 in) and was achieved by Andrei Burton (UK) at Prudential RideLondon FreeCycle, in London, UK, on 29 July 2017.</p><br/><p>The record attempt took place in Green Park Festival Zone where various stunt cyclists showed off their tricks on the urban trials obstacle course.</p>"
